,pipeline,experiment_folder_name,run_name,dataset_name,training_proportion,is_subset,batch_size,num_workers,learning_rate,n_epochs,dose,dual_loss_weighting,reconstruction_loss,sinogram_loss,reconstruction_network,primal_dimension,primal_name,primal_n_layers,primal_n_filters,dual_dimension,dual_name,dual_n_layers,dual_n_filters,lpd_n_iterations,fourier_filtering_is_filter,angle_partition_min_pt,angle_partition_max_pt,angle_partition_shape,detector_partition_min_pt,detector_partition_max_pt,detector_partition_shape,src_radius,det_radius,beam_geometry,LIDC-IDRI-0893,LIDC-IDRI-0772,LIDC-IDRI-0900,LIDC-IDRI-1002
0,reconstruction,25_percent_measurements,1d_5it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,cnn_block,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,12.579588432969718,18.62208418238083,23.57874870300293,13.27443647533191
0,reconstruction,25_percent_measurements,2d_5it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,Unet,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,14.634823516319537,25.700299538221934,27.67783336294183,15.066712334891346
0,reconstruction,25_percent_measurements,1d_1it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,Unet,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,12.938914068813983,19.432269646817407,19.612721395708316,12.928273370332807
0,reconstruction,25_percent_measurements,2d_5it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,Unet,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,8.054902367756284,2.402585752058349,1.2389117571023793,5.582518856844798
0,reconstruction,25_percent_measurements,2d_5it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,cnn_block,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,14.020056806761643,25.64363281198796,23.244805279900046,14.140976599815108
0,reconstruction,25_percent_measurements,1d_1it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,cnn_block,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,13.399973527316389,20.830048657103674,21.66335084319654,13.522970386754686
0,reconstruction,25_percent_measurements,1d_1it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,Unet,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,15.282062612730881,19.999145693426964,22.62344558422382,14.490649285717545
0,reconstruction,25_percent_measurements,2d_1it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,Unet,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,14.604692396624335,27.368023993984966,27.007523653194376,14.936701646846403
0,reconstruction,25_percent_measurements,1d_5it_unet_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,Unet,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,12.48257299949383,19.38649425250572,20.770230595342714,12.50709225604096
0,reconstruction,25_percent_measurements,2d_1it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,cnn_block,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,15.276313689659382,17.766513965273862,20.407028262971213,15.805216578308295
0,reconstruction,25_percent_measurements,1d_1it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,cnn_block,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,12.881069157041352,18.18629970166507,20.483875969416417,13.026680209554987
0,reconstruction,25_percent_measurements,2d_5it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,cnn_block,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,12.911580509975039,19.230737174117326,24.85659661875591,13.477806281449267
0,reconstruction,25_percent_measurements,1d_5it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,cnn_block,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,13.743652764682112,20.320429251498023,19.74406580687648,13.87051499149881
0,reconstruction,25_percent_measurements,1d_5it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,Unet,1,8,5,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,12.051515934385103,21.500368476714065,23.3062849562632,12.636647875063888
0,reconstruction,25_percent_measurements,2d_1it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,Unet,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,14.0971319363035,23.761705040131638,27.267646353708674,14.460269348643651
0,reconstruction,25_percent_measurements,2d_1it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,cnn_block,1,8,1,False,0,6.28318530718,256,-473,473,736,787,298,fan_beam,14.76285765746544,26.626234592207325,26.191583594585435,14.597615643082378
0,reconstruction,6_percent_measurements,2d_1it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,2,cnn_block,1,8,1,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,14.74942382286335,24.596740799462236,26.04347011514379,14.681685587327427
0,reconstruction,6_percent_measurements,2d_1it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,2,Unet,1,8,1,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,11.199209732844912,22.809076091587144,22.8763808599964,12.240714399985436
0,reconstruction,6_percent_measurements,1d_5it_cnn_unet,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,Unet,1,8,5,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,14.177064231346394,21.012683087547355,22.562979508309343,14.10778599439009
0,reconstruction,6_percent_measurements,1d_1it_cnn_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,cnn_block,1,8,1,cnn_block,1,8,1,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,12.526376444717933,17.903649003713724,20.650225967303662,12.699716775959526
0,reconstruction,6_percent_measurements,1d_5it_unet_cnn,LIDC-IDRI,0.8,True,8,2,0.0001,200,1,0,MSE,L1,lpd,2,Unet,1,8,1,cnn_block,1,8,5,False,0,6.28318530718,64,-473,473,736,787,298,fan_beam,12.633827235780913,19.56064135276231,20.09408349257249,12.866349208392087
